"Carimbo de data/hora","cidade","2019","2020","2021"
"2023/03/31 6:32:05 PM GMT-3","Aceguá","32066","32145","35000"
"2023/03/31 6:32:23 PM GMT-3","Agua Santa","1500","5000","5000"
"2023/03/31 6:32:39 PM GMT-3","Agudo","6000","7000","10000"
"2023/03/31 6:33:02 PM GMT-3","Ajuricaba","13000","30000","32000"
"2023/03/31 6:33:23 PM GMT-3","Alecrim","10200","12200","12430"
"2023/03/31 6:33:46 PM GMT-3","Alegrete","70000","71652","80000"
"2023/03/31 6:34:04 PM GMT-3","Alegria","9305","11150","11230"
"2023/03/31 6:34:22 PM GMT-3","Almirante Tamfare do Sul","4500","4900","5000"
"2023/03/31 6:34:42 PM GMT-3","Alpestre","16800","18000","21500"
"2023/03/31 6:34:56 PM GMT-3","Alto Alegre","850","1000","950"
"2023/03/31 6:35:47 PM GMT-3","Alto Feliz","4000","15000","10000"
"2023/03/31 6:35:57 PM GMT-3","Alvorada","0","0","0"
"2023/03/31 6:36:14 PM GMT-3","Amaral Ferrador","2139","2609","2550"
"2023/03/31 6:36:29 PM GMT-3","Ametista do Sul","3000","3500","2550"
"2023/03/31 6:36:44 PM GMT-3","Andre da Rocha","4020","3675","3980"